feature.sig	pvalue.sig	fdr.sig	n.sig	coef.sig	mean0.sig	mean1.sig	mean0.sig.w	mean1.sig.w	class
ARHGAP35	0.0075740085856706	0.0165234838208476	1208	1.17928650940123	0.0947368421052632	0.207547169811321	0.0745326992405684	0.207547169811321	UCEC
TAF1	0.000329863867255677	0.0101627830804638	1208	1.60557118235536	0.0631578947368421	0.264150943396226	0.0672277160386603	0.264150943396226	UCEC
FAT3	0.00484987514335194	0.0153952969361445	1208	1.07775677854615	0.0947368421052632	0.264150943396226	0.10887724945825	0.264150943396226	UCEC
USH2A	0.000719182021288977	0.0115195847814777	1208	1.43071320408265	0.0842105263157895	0.264150943396226	0.0790578382460583	0.264150943396226	UCEC
DNAH5	3.36895789191902e-06	0.00509049537468964	1208	2.32487675579884	0.0421052631578947	0.339622641509434	0.0478863888481592	0.339622641509434	UCEC
MACF1	0.00126486114938346	0.0120026830416687	1208	1.31857244436937	0.0947368421052632	0.264150943396226	0.0876176433368672	0.264150943396226	UCEC
SYNE1	0.00276644444978119	0.0135749612254866	1208	1.24044702381872	0.0947368421052632	0.245283018867925	0.0859297658040628	0.245283018867925	UCEC
RYR3	0.00292362083353199	0.0135749612254866	1208	1.31011879315546	0.0842105263157895	0.226415094339623	0.0731835949451762	0.226415094339623	UCEC
LRP2	8.4484526203194e-05	0.0101627830804638	1208	2.07493581066133	0.0526315789473684	0.264150943396226	0.0431303547012181	0.264150943396226	UCEC
MDN1	0.00253333270830717	0.01352602728711	1208	1.34296077192282	0.0631578947368421	0.226415094339623	0.0709869856057588	0.226415094339623	UCEC
MLL2	0.000273853975106667	0.0101627830804638	1208	1.53485556921371	0.0736842105263158	0.283018867924528	0.0783924740326875	0.283018867924528	UCEC
ABCA13	0.00544696333429279	0.0157972391518549	1208	1.25667556410867	0.0736842105263158	0.207547169811321	0.0693672478975421	0.207547169811321	UCEC
FLG	0.000505425684790115	0.0108908492010707	1208	1.50617745284471	0.0631578947368421	0.264150943396226	0.0737350694421131	0.264150943396226	UCEC
ANK3	0.000320503106595971	0.0101627830804638	1208	2.05723624168104	0.0421052631578947	0.226415094339623	0.0360580204061393	0.226415094339623	UCEC
DNAH10	0.0255314316206338	0.0353926542924566	1208	0.868825836695169	0.0947368421052632	0.226415094339623	0.109340899105076	0.226415094339623	UCEC
CSMD2	0.00470361065943197	0.0150256991678683	1208	1.13806208745578	0.0736842105263158	0.245283018867925	0.0943200523423803	0.245283018867925	UCEC
FGFR2	0.00939491241311194	0.0181821031960621	1208	1.01031403592847	0.0947368421052632	0.245283018867925	0.105812755808251	0.245283018867925	UCEC
HERC1	0.00194917640254403	0.0120026830416687	1208	1.72526609045081	0.0631578947368421	0.188679245283019	0.0397768300891382	0.188679245283019	UCEC
UBR4	0.000608211415174744	0.0115195847814777	1208	1.46593950354859	0.0736842105263158	0.264150943396226	0.0765308249800502	0.264150943396226	UCEC
NBEA	0.0112817530764255	0.0204827867114455	1208	1.02765134973719	0.0947368421052632	0.226415094339623	0.0948059859990911	0.226415094339623	UCEC
PCLO	0.00142380620496034	0.0120026830416687	1208	1.48478584281584	0.0631578947368421	0.226415094339623	0.0621842785263314	0.226415094339623	UCEC
RYR1	0.000754056712306279	0.0115195847814777	1208	1.34087825019	0.0736842105263158	0.283018867924528	0.0936030642959647	0.283018867924528	UCEC
MLL4	0.00211971433293428	0.0121166554860697	1208	1.68842694821943	0.0526315789473684	0.188679245283019	0.0412079904164661	0.188679245283019	UCEC
APOB	0.000184058678214342	0.0101627830804638	1208	2.00321342316174	0.0526315789473684	0.245283018867925	0.0420013932774679	0.245283018867925	UCEC
