feature.sig	pvalue.sig	fdr.sig	n.sig	coef.sig	mean0.sig	mean1.sig	mean0.sig.w	mean1.sig.w	class
YBX1_sym2pro_YB.1_pS102.R.V	1.90972693658986e-05	0.00103054653292096	38	0.129604193707237	0.0019910096294964	0.10112306996988	-0.0017721900405513	0.127832003666686	BLCA
MAPK14_sym2pro_p38_MAPK.R.V	2.41646810586964e-05	0.00103054653292096	38	0.145541485144637	-0.0948347131546763	0.106454812319277	-0.0665503172447831	0.0789911678998539	BLCA
RPS6KB1_sym2pro_p70S6K_pT389.R.V	0.00534307761918796	0.0344487899131855	38	-0.10201100214694	0.0706379559244604	-0.0258989430180723	0.0714965298418926	-0.0305144723050469	BLCA
RPS6KA1_sym2pro_p90RSK.R.C	0.00497952567295206	0.0338884386075904	38	0.108957789317586	-0.0256840279748201	0.0380358297048193	-0.0545875640110081	0.0543702253065782	BLCA
YWHAZ_sym2pro_14.3.3_zeta.R.V	0.00715462387261497	0.0402089861640961	51	0.081887115416185	0.0653967214099147	0.129007258723597	0.0472565625176078	0.129143677933793	BRCA
EIF4EBP1_sym2pro_4E.BP1_pT37_T46.R.V	0.0051401826431284	0.0307317302706188	51	-0.134582709543799	0.171536660303305	0.0643598243605611	0.188548892730949	0.0539661831871508	BRCA
NA_sym2pro_53BP1.R.C	0.00239183986957503	0.0197678530397231	51	-0.148306245646327	0.0348503981538461	-0.0971983110654297	0.0362880275721377	-0.0788524332133915	BRCA
ARAF_sym2pro_A.Raf_pS299.R.C	0.00199486901633697	0.0186852731196896	51	0.0642064720358476	-0.00955130963272929	0.0567522559249174	-0.00789863897128355	0.0563078330645641	BRCA
NA_sym2pro_ACC1.R.C	4.54068039262836e-05	0.000981485531021976	51	0.288012756574197	-0.0640481386314103	0.218689536512695	-0.0382322832088309	0.193114178244182	BRCA
ACACA_sym2pro_ACC1.R.E	0.000246169655423959	0.00329398443686345	51	0.308919641058036	0.0297174757610442	0.317011098223558	0.01304465941235	0.115733014327021	BRCA
ACACA..ACACB_sym2pro_ACC_pS79.R.V	0.000432604600827767	0.0050650788680251	51	0.186177607915862	0.0724017736636461	0.249400777335809	0.065695594734812	0.251873202650674	BRCA
BRCA2_sym2pro_BRCA2.R.C	0.00214095296269016	0.0194067026618044	51	-0.0555733338128844	-0.0044904000271855	-0.0696242933209571	-0.00970407505720217	-0.0652774088700866	BRCA
BCL2_sym2pro_Bcl.2.M.V	1.2791905319741e-08	8.98631348711805e-07	51	-0.350073481744476	0.344555949770256	0.00135307888531354	0.347613289992751	-0.00246019175172509	BRCA
PECAM1_sym2pro_CD31.M.V	0.00161984601144127	0.0156957492832757	51	-0.105092268654568	-0.0709936978555437	-0.174721046961221	-0.0715409675957222	-0.176633236250291	BRCA
CASP7_sym2pro_Caspase.7_cleavedD198.R.C	0.000603234823782926	0.00652066797117947	51	0.187010749729009	0.0419303526572495	0.216367437873762	0.039094699039551	0.22610544876856	BRCA
CCNB1_sym2pro_Cyclin_B1.R.V	0.000199128820322397	0.00279775992552968	51	0.25104852066532	0.00688642887260127	0.214005217028878	-0.0183068222146949	0.232741698450625	BRCA
CCNE1_sym2pro_Cyclin_E1.M.V	0.00307488949788394	0.0205724749739378	51	0.116148740463212	0.0948528795559702	0.17977934104538	0.0704444594209662	0.186593199884178	BRCA
CCNE2_sym2pro_Cyclin_E2.R.C	0.00226789500810972	0.0196610510570514	51	0.0700465839314812	0.0229041862436034	0.083358916769802	0.0133319724080903	0.0833785563395715	BRCA
NA_sym2pro_DJ.1.R.V	0.00230894905652204	0.0196610510570514	51	-0.101107474793157	0.141654355550409	0.0392452477234432	0.11312644246334	0.0375030442451805	BRCA
EGFR_sym2pro_EGFR_pY1068.R.C	4.86399337042346e-06	0.000151864681898777	51	0.268541677919819	0.0827209632787847	0.357704318987624	0.0910556810358651	0.359597358955684	BRCA
EPPK1_sym2pro_EPPK1.M.E	0.00290292242261483	0.0203930300188692	51	0.493109955741768	0.0999404490115741	0.574168549778571	0.0196561218295042	0.0718007245108121	BRCA
ESR1_sym2pro_ER.alpha.R.V	3.90439454442247e-05	0.000954941232370251	51	-0.633098927309184	0.218751063313966	-0.25971750755033	0.356653637764968	-0.276445289544216	BRCA
ESR1_sym2pro_ER.alpha_pS118.R.V	1.91831908020341e-07	1.07809532307431e-05	51	-0.220105907969049	0.143549477607143	-0.0624957605486799	0.157530612348453	-0.0625752956205961	BRCA
ERCC5_sym2pro_ERCC5.R.C	0.00067467787684482	0.00702164753308868	51	-0.102071893738195	0.0033634681913646	-0.0960434564150165	0.00089151000870377	-0.101180383729491	BRCA
FASN_sym2pro_FASN.R.V	3.23325379698362e-07	1.51424052825399e-05	51	0.434696544171058	-0.0130264940335821	0.41599827024835	-0.0113522811341898	0.423344263036868	BRCA
FN1_sym2pro_Fibronectin.R.V	0.00254682593999379	0.020272320857068	51	0.194479500150767	0.0320788202329425	0.210304640197195	0.0162227240354438	0.210702224186211	BRCA
G6PD_sym2pro_G6PD.M.V	1.70697434879071e-10	2.39829896005095e-08	51	0.221192784775661	-0.0532412590623667	0.175141055089934	-0.0528841186990901	0.168308666076571	BRCA
GAPDH_sym2pro_GAPDH.M.C	7.04030937982477e-05	0.00123645433483173	51	0.285657840467842	0.128436886116738	0.332735882842409	0.047769131658242	0.333426972126084	BRCA
NA_sym2pro_GCN5L2.R.V	0.00279675207464263	0.0203930300188692	51	-0.114844094364615	-0.0401949765367847	-0.168609596340659	-0.035908031762553	-0.143379009328241	BRCA
ERBB2_sym2pro_HER2.M.V	8.38415601623253e-11	2.35594784056134e-08	51	0.482137004136594	-0.0612747155698294	0.383801534716997	-0.0890783092365935	0.3930586949	BRCA
ERBB2_sym2pro_HER2_pY1248.R.C	6.49616545607605e-06	0.000182542249315737	51	0.317708948530994	0.0852405812112573	0.363826550224843	0.0489199111548679	0.203980890025441	BRCA
NA_sym2pro_HER2_pY1248.R.V	6.76232475839362e-05	0.00123645433483173	51	0.324245202936141	0.000402189174358935	0.341248011459459	0.0064702765533244	0.20369784437478	BRCA
IGF1R_sym2pro_IGF1R_pY1135_Y1136.R.V	0.00463044444436842	0.028914553085945	51	-0.0535784180806389	0.000798582178571423	-0.039776039900165	0.0120949611759073	-0.0414834569047317	BRCA
INPP4B_sym2pro_INPP4B.R.V	0.00496712680016788	0.030342665887982	51	-0.263618234314308	0.0752280895162037	-0.120407125664286	0.0276302395321854	-0.0171725364688447	BRCA
STK11_sym2pro_LKB1.M.E	4.07804084997972e-05	0.000954941232370251	51	-0.0613405485304376	-0.0168037675740938	-0.0683961461872937	-0.0104829429648601	-0.0718234914952976	BRCA
MRE11A_sym2pro_Mre11.R.C	0.00297618422827562	0.0203977504425719	51	-0.0713020270704562	-0.0477274282041578	-0.107172662525578	-0.0392599944791882	-0.110562021549644	BRCA
NA_sym2pro_PCNA.M.V	0.000111665747354937	0.00184576911804338	51	0.0920937995434474	0.00322324444551279	0.091313003711914	0.00267961574433565	0.0802332716129478	BRCA
PDCD4_sym2pro_PDCD4.R.C	1.06082481187548e-09	9.93639240456695e-08	51	-0.417372916659525	0.121317123805437	-0.271237636556931	0.132273509022242	-0.285099407637284	BRCA
PIK3CA_sym2pro_PI3K.p110.alpha.R.C	0.00413307582799615	0.0263953251742481	51	-0.0557626724603359	0.033948508597548	-0.0166855989282178	0.0330553276516207	-0.0227073448087152	BRCA
PXN_sym2pro_Paxillin.R.C	5.22753741117183e-07	2.09848287505612e-05	51	0.206338781268269	-0.0461366970963855	0.143473783199519	-0.0337319862041539	0.0495063980571895	BRCA
RICTOR_sym2pro_Rictor_pT1135.R.V	0.00265101267991402	0.020272320857068	51	-0.0627047783184498	0.0103330605453092	-0.0378467440288779	0.0217301122156362	-0.0409746661028136	BRCA
NA_sym2pro_SLC1A5.R.C	0.000603335826514826	0.00652066797117947	51	0.168809613923528	-0.117315165140327	0.0531279406978022	-0.0929807369323461	0.0458640671287204	BRCA
TFRC_sym2pro_TFRC.R.V	0.000146169276508932	0.00216176666836895	51	0.19411745136359	0.077281171771322	0.238220576943069	0.0513190049581691	0.245436456321759	BRCA
